NAME,CODE,ELEV,LAT,LON,COUNTY,AGENCY,km3_storage
BUCKS LAKE STORAGE,BCL,5168,39.897,-121.202,PLUMAS,Pacific Gas & Electric,0.099506114
LAKE DAVIS (DWR),DAV,5768,39.883,-120.467,PLUMAS,CA Dept of Water Resources/O&M Oroville Field Division,0.055627509
FRENCHMAN DAM,FRD,5517,39.883,-120.183,PLUMAS,CA Dept of Water Resources/O&M Oroville Field Division,0.036672612
LITTLE GRASS VALLEY,LGV,5047,39.724,-121.019,PLUMAS,South Feather Water and Power Agency,0.070807954
SLY CREEK,SLC,3536,39.584,-121.116,BUTTE,South Feather Water and Power Agency,0.044951734
OROVILLE DAM,ORO,900,39.54,-121.493,BUTTE,CA Dept of Water Resources/O&M Oroville Field Division,1.100263471
THERMALITO DIVERS POOL,THD,230,39.528,-121.543,BUTTE,CA Dept of Water Resources,0.016283178
THERMALITO FOREBAY,TFR,230,39.519,-121.629,BUTTE,CA Dept of Water Resources,0.014197362
THERMALITO TOTAL,TMT,140,39.458,-121.638,BUTTE,CA Dept of Water Resources,0.096284263
THERMALITO AFTERBAY,TAB,140,39.45,-121.633,BUTTE,CA Dept of Water Resources/Operations and Maintenance,0.065803724
JACKSON MEADOWS (NEVADA CO WD),JCK,6037,39.509,-120.552,NEVADA,Nevada County,0.0477394
BOWMAN LAKE,BWN,5566,39.45,-120.652,NEVADA,Nevada County,0.032371465
LAKE SPAULDING S YUBA SYSTEM,BWS,5390,39.441,-120.658,NEVADA,Pacific Gas & Electric,0.064619582
FRENCH LAKE,FRL,6664,39.44,-120.544,NEVADA,Nevada County,0.009922118
NEW BULLARDS BAR,BUL,1965,39.393,-121.14,YUBA,Yuba County Water Agency,0.575254652
SCOTTS FLAT,SFL,3085,39.274,-120.917,NEVADA,Nevada Irrigation District,0.039520719
ENGLEBRIGHT (USACE),ENG,551,39.239,-121.267,NEVADA,US Army Corps of Engineers,0.084323202
ROLLINS,RLL,2176,39.135,-120.948,PLACER,Nevada County,0.074420819
BEAR RIVER AT CAMP FAR WEST DAM,CFW,260,39.05,-121.317,YUBA,CA Dept of Water Resources/Flood Management,0.014567406
